Electricity-supply-from-grid,Electricity-supply-photovoltaics,Electricity-supply-batteries-discharge,Electricity-demand-base,Electricity-demand-batteries-charge,Electricity-demand-heat-pumps,Electricity-demand-electro-mobility
0,14.377464,0,4.1869435,6.7231336,0.12997687,3.33741
0,8.934135,0,3.7663553,1.0601245,0.5830841,3.5245714
1.3781655,2.6003108,1.1607417,4.0185995,0,0.029207747,1.0914109
1.2157148,0.3991103,3.9786477,3.8757093,0,0.03959978,1.6781638
1.5653503,0,3.8232946,3.2760873,0,0.2517976,1.8607601
0.57600474,0,3.8183048,2.7253616,0,0.28003648,1.3889115
0.8949197,0,2.4560764,2.256172,0,0.31440926,0.78041464
2.737996,0,0,1.9798689,0,0.37707686,0.38105032
0,0,2.3655944,1.9598136,0,0.13578922,0.2699914
0,0,2.193157,1.7722366,0,0.15092888,0.2699914
0,0,2.151887,1.7150003,0,0.16689515,0.2699914
0,0,2.2326124,1.7779979,0,0.18462312,0.2699914
0,0.03159829,2.2600503,1.8303287,0,0.19132857,0.2699914
0,2.4314854,0.3864024,2.370797,0,0.17709965,0.2699914
0,4.419442,0,3.0159376,0,0.3286109,1.0748935
0,7.045112,0,3.7261584,0,0.2402676,3.0786862
0,11.085828,0,4.393373,1.7170832,0.92562413,4.049748
0,14.281167,0,4.949678,4.728284,0.3080669,4.2951384
0,13.80802,0,5.1763234,4.4405265,0.2693201,3.9218495
0,8.978505,0,5.461444,0,0.0426064,3.474455
0,13.769483,0,5.513195,4.925418,0.030609716,3.30026
0,13.954401,0,5.115158,5.2654543,0.19126825,3.3825204
0,15.139319,0,5.136071,6.341939,0.10996765,3.5513422
0,16.183392,0,4.93527,7.7194943,0.115626454,3.4130003
0,13.088612,0,4.4161515,5.275792,0.1364756,3.2601926
0,9.774878,0,4.1036563,1.8903717,0.3427155,3.4381337
0,2.7534013,2.5215907,4.2611814,0,0.03676215,0.97704834
0,0.26212075,5.3569245,4.0489144,0,0.035235114,1.5348958
0,0,5.1823373,3.4105625,0,0.052474678,1.7193
0,0,4.1437964,2.8154159,0,0.06848785,1.259893
0,0,3.1101708,2.3085463,0,0.12025166,0.68137276
0,0,2.4474478,2.0036569,0,0.142108,0.301683
0,0,2.2773707,1.9781156,0,0.029263843,0.2699914
0,0,2.079813,1.7927923,0,0.017029405,0.2699914
0,0,2.0198731,1.7348843,0,0.014997467,0.2699914
0,0,2.098392,1.8132975,0,0.015103096,0.2699914
0,0.4264491,1.7785237,1.9122212,0,0.02276013,0.2699914
0,2.0998118,0.6915818,2.4792895,0,0.042112652,0.2699914
0,6.714742,0,3.3045192,0.62574244,0.53285605,2.2516246
0,12.20933,0,4.214524,4.5098066,0.3354287,3.149571
0,14.348913,0,4.822754,5.226633,0.12629575,4.1732297
